scope,horizon_years,est_start,est_end,val_start,n_validation,alpha,beta,sigma_resid,crps_model,crps_benchmark,crps_skill,log_score_model,log_score_benchmark,pit_ks_pvalue,pit_ks_statistic,brier_score,reliability,resolution,uncertainty
LC_FULL,1,2013-01-01,2018-12-31,2019-01-01,77,0.11705889618049657,-0.0009490776678872117,0.07524921876577803,0.08471449017040393,0.08476734433679144,0.0006235203756945751,0.03532458929970653,0.03659272419857987,2.383585237906084e-05,0.2673434385851342,0.14043474908992387,0.009082639855281967,0.0,0.1315567549333783
LC_FULL,3,2013-01-01,2018-12-31,2019-01-01,53,0.14998475681571496,-0.06811516160691446,0.02221669222177952,0.033848439234048774,0.024659872449136526,-0.3726120969954161,-0.2740117245390857,-1.5838618130476898,4.6202315034822467e-11,0.4658932498713372,0.00027763394774748623,4.6262630984716996e-05,0.0,0.0
LC_FULL,5,2013-01-01,2018-12-31,2019-01-01,29,0.1253074044497388,-0.011588886418559537,0.024832988241280964,0.016887934467404987,0.014174047576915583,-0.19146873013953658,-2.1088231593842464,-2.297056052665307,7.39468252122152e-09,0.5527668555964489,2.8177839410087474e-11,1.2862025991038792e-11,0.0,0.0
LC_FULL,10,2013-01-01,2018-12-31,2019-01-01,0,,,,,,,,,,,,,,
LC_TIER2,1,1986-01-01,2010-12-31,2011-01-01,173,0.056668255175136635,0.04260535214128436,0.20084000588914086,0.0791887842189739,0.07808205487118637,-0.014173927026041033,-0.4684198969296027,-0.4752082324375578,7.380663066984083e-14,0.29522285732717746,0.17740407472695707,0.08722519335643324,0.0039022768632306897,0.09322062213906245
LC_TIER2,3,1986-01-01,2010-12-31,2011-01-01,149,0.051363004731976754,0.005142418911294276,0.11122539702745253,0.05037968375952867,0.05034871383611058,-0.0006151085312506854,-0.9788801228107887,-0.9798110104903844,3.634954715927693e-49,0.5858467004370659,0.10238402314857417,0.10235789592616447,0.0,0.0
LC_TIER2,5,1986-01-01,2010-12-31,2011-01-01,125,0.05281960500587681,-0.04545976915370467,0.0638488710453884,0.05510957007668291,0.050296217395394985,-0.09570009298012572,-0.861075495963642,-1.0314637917248362,6.029017672371743e-52,0.649027654100921,0.07710212615671491,0.07658161764480603,0.0,0.0
LC_TIER2,10,1986-01-01,2010-12-31,2011-01-01,65,0.06315132106816822,0.013460727938331474,0.042152397650171224,0.04089099702196337,0.04257571809764862,0.03956999789930249,-1.1423189525731794,-1.076439208986884,5.827816792323348e-50,0.8288467493791057,0.0033754486009607188,0.00333482376459444,0.0,0.0
LC_DEEP,1,1986-01-01,2010-12-31,2011-01-01,173,0.08311821713544505,-0.06698401967077701,0.17407564745103876,0.0722171210781362,0.06907352855379695,-0.04551081420273628,-0.5674935294312522,-0.6003969545591356,4.58190507317716e-07,0.20835060742762496,0.13715138011802128,0.04866585923938805,0.007778745937822875,0.09322062213906245
LC_DEEP,3,1986-01-01,2010-12-31,2011-01-01,149,0.082324838604701,-0.07667705821560587,0.10050535843386589,0.03915908118405025,0.03475998233652724,-0.12655641780635363,-1.1606386064038892,-1.2079810979753938,2.6572513731706256e-22,0.402440429512405,0.06779615480857032,0.06699133547616433,0.0,0.0
LC_DEEP,5,1986-01-01,2010-12-31,2011-01-01,125,0.08197413562649618,-0.09532207416972363,0.06933754932862031,0.04354227556725847,0.026897555013269393,-0.618819091392423,-1.0674195548669678,-1.4867276242106224,2.2537271191250616e-13,0.3396787846764471,0.08073910649570543,0.08011398780770133,0.0,0.0
LC_DEEP,10,1986-01-01,2010-12-31,2011-01-01,65,0.08947278163250336,-0.017076886641326536,0.04955995168203599,0.02485352189466787,0.022828218385787084,-0.08871929796070943,-1.7226453328541305,-1.7790101734895911,1.4845809958426887e-28,0.6623787405118264,0.0015654693427807713,0.00152137362702076,0.0,0.0
