scope,horizon_years,lc_current,p_neg_total_return,p_below_rf10y,p_below_5pct_cagr,p_above_7pct_cagr,p_maxdd_lt_neg20,p_maxdd_lt_neg30,p_maxdd_lt_neg50,p_neg_total_return_ci_low,p_neg_total_return_ci_high,p_below_rf10y_ci_low,p_below_rf10y_ci_high,p_below_5pct_cagr_ci_low,p_below_5pct_cagr_ci_high,p_above_7pct_cagr_ci_low,p_above_7pct_cagr_ci_high,p_maxdd_lt_neg20_ci_low,p_maxdd_lt_neg20_ci_high,p_maxdd_lt_neg30_ci_low,p_maxdd_lt_neg30_ci_high,p_maxdd_lt_neg50_ci_low,p_maxdd_lt_neg50_ci_high,lc_quintile,n_obs_in_quintile
LC_FULL,1,-12.54901852902389,0.2468354430379747,0.3227848101265823,0.3227848101265823,0.5886075949367089,0.0189873417721519,0.0,0.0,0.18006329113924052,0.302373417721519,0.26091772151898734,0.3783227848101266,0.26091772151898734,0.3783227848101266,0.5106012658227849,0.6708860759493671,0.006329113924050633,0.0379746835443038,0.0,0.0,0.0,0.0,1.0,158
LC_FULL,3,-12.54901852902389,0.0,0.0784313725490196,0.0915032679738562,0.8627450980392157,0.0,0.0,0.0,0.0,0.0,0.04068627450980392,0.11764705882352941,0.05228758169934641,0.14738562091503266,0.8104575163398693,0.9150326797385621,0.0,0.0,0.0,0.0,0.0,0.0,1.0,153
LC_FULL,5,-12.54901852902389,0.0,0.0,0.02027027027027027,0.9054054054054054,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0472972972972973,0.8461148648648649,0.9511824324324325,0.008277027027027027,0.05405405405405406,0.0,0.0,0.0,0.0,1.0,148
LC_FULL,10,-12.54901852902389,0.0,0.014705882352941176,0.014705882352941176,0.9411764705882353,0.10294117647058823,0.0,0.0,0.0,0.0,0.0,0.03676470588235294,0.0,0.03676470588235294,0.9117647058823529,0.9909926470588235,0.058823529411764705,0.13970588235294118,0.0,0.0,0.0,0.0,1.0,136
LC_TIER2,1,1.8879097708915218,0.24050632911392406,0.31645569620253167,0.33544303797468356,0.6329113924050633,0.0189873417721519,0.0,0.0,0.17088607594936708,0.3170886075949367,0.2482594936708861,0.4022151898734177,0.26582278481012656,0.4162974683544304,0.5471518987341772,0.7011075949367088,0.006329113924050633,0.0379746835443038,0.0,0.0,0.0,0.0,5.0,158
LC_TIER2,3,1.8879097708915218,0.058823529411764705,0.2549019607843137,0.2679738562091503,0.6666666666666666,0.16993464052287582,0.0,0.0,0.026143790849673203,0.08349673202614379,0.18447712418300652,0.3202614379084967,0.19607843137254902,0.35,0.5700980392156862,0.7436274509803922,0.12418300653594772,0.22875816993464052,0.0,0.0,0.0,0.0,5.0,153
LC_TIER2,5,1.8879097708915218,0.02027027027027027,0.20945945945945946,0.22972972972972974,0.7094594594594594,0.12162162162162163,0.0,0.0,0.006756756756756757,0.05405405405405406,0.15016891891891893,0.2635135135135135,0.17043918918918918,0.2875,0.6329391891891892,0.7567567567567568,0.06756756756756757,0.16216216216216217,0.0,0.0,0.0,0.0,5.0,148
LC_TIER2,10,1.8879097708915218,0.0,0.04411764705882353,0.1323529411764706,0.6838235294117647,0.25,0.0,0.0,0.0,0.0,0.01636029411764706,0.08658088235294117,0.09724264705882352,0.18216911764705881,0.6045955882352941,0.7466911764705882,0.178125,0.3202205882352941,0.0,0.0,0.0,0.0,5.0,136
LC_DEEP,1,-13.172680184618741,0.36075949367088606,0.44936708860759494,0.46835443037974683,0.4873417721518987,0.0,0.0,0.0,0.2974683544303797,0.4050632911392405,0.37626582278481013,0.492246835443038,0.3987341772151899,0.5175632911392405,0.421993670886076,0.5506329113924051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,158
LC_DEEP,3,-13.172680184618741,0.19607843137254902,0.30718954248366015,0.3333333333333333,0.5947712418300654,0.16339869281045752,0.0,0.0,0.12418300653594772,0.24183006535947713,0.23022875816993463,0.3580065359477124,0.25931372549019605,0.39215686274509803,0.5374183006535947,0.6702614379084968,0.10457516339869281,0.2142156862745098,0.0,0.0,0.0,0.0,1.0,153
LC_DEEP,5,-13.172680184618741,0.10810810810810811,0.21621621621621623,0.2635135135135135,0.5743243243243243,0.21621621621621623,0.07432432432432433,0.0,0.07432432432432433,0.15388513513513513,0.14493243243243242,0.2619932432432432,0.19070945945945947,0.32128378378378375,0.4947635135135135,0.6538851351351351,0.15016891891891893,0.2702702702702703,0.04054054054054054,0.1118243243243243,0.0,0.0,1.0,148
LC_DEEP,10,-13.172680184618741,0.051470588235294115,0.3161764705882353,0.41911764705882354,0.3014705882352941,0.6397058823529411,0.08088235294117647,0.0,0.014705882352941176,0.08823529411764706,0.23860294117647057,0.3806985294117647,0.35459558823529413,0.49099264705882356,0.2369485294117647,0.3733455882352941,0.5808823529411765,0.7115808823529411,0.03272058823529412,0.11599264705882352,0.0,0.0,1.0,136
